activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,39959,[],CHEMBL750984,The compound was evaluated for antagonist activity against recombinant human P2X purinoceptor 4 (P2X4),F,,,BAO_0000190,BAO_0000019,assay format,O=C(Nc1cccc(C(=O)Nc2ccc(S(=O)(=O)[O-])c3cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c23)c1)Nc1cccc(C(=O)Nc2ccc(S(=O)(=O)[O-])c3cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c23)c1.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],,,CHEMBL1135773,J. Med. Chem.,2002.0,,CHEMBL216504,,CHEMBL1206126,,False,http://www.openphacts.org/units/Nanomolar,252102,>,1,True,>,,IC50,nM,,100000.0,CHEMBL2104,Homo sapiens,P2X purinoceptor 4,9606,,,IC50,nM,UO_0000065,,100000.0
,1075404,[],CHEMBL751124,Inhibition of inward ion current elicited by ATP at human P2X4 receptor (mutant type),F,,,BAO_0000190,BAO_0000019,assay format,Cc1nc(/N=N/c2ccc(S(=O)(=O)O)cc2S(=O)(=O)O)c(COP(=O)(O)O)c(C=O)c1O,,,CHEMBL1134335,J. Med. Chem.,2001.0,,CHEMBL69234,,CHEMBL69234,4.56,False,http://www.openphacts.org/units/Nanomolar,221491,=,1,True,=,,IC50,nM,,27500.0,CHEMBL2104,Homo sapiens,P2X purinoceptor 4,9606,,,IC50,uM,UO_0000065,,27.5
,1610564,[],CHEMBL872178,Inhibitory concentration against human P2X purinoceptor 4 expressed in Xenopus laevis oocytes,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(Nc1cccc(C(=O)Nc2cc(C(=O)Nc3ccc(S(=O)(=O)[O-])c4cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c34)ccc2F)c1)Nc1cccc(C(=O)Nc2cc(C(=O)Nc3ccc(S(=O)(=O)[O-])c4cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c34)ccc2F)c1.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],,,CHEMBL1140384,J. Med. Chem.,2005.0,,CHEMBL413145,,CHEMBL1207514,,False,http://www.openphacts.org/units/Nanomolar,403192,<,1,True,<,,IC50,nM,,1000.0,CHEMBL2104,Homo sapiens,P2X purinoceptor 4,9606,,,Log IC50,,UO_0000065,,-6.0
,2271933,[],CHEMBL1017979,Antagonist activity at P2X4 receptor up to 10 uM,F,,,BAO_0000190,BAO_0000019,assay format,COc1cc(C(C)C)c(Oc2cnc(NC(CO)CO)nc2N)cc1I,,,CHEMBL1153300,Bioorg. Med. Chem. Lett.,2009.0,,CHEMBL494161,,CHEMBL494161,,False,http://www.openphacts.org/units/Nanomolar,755715,>,1,True,>,,IC50,nM,,10000.0,CHEMBL2104,Homo sapiens,P2X purinoceptor 4,9606,,,IC50,uM,UO_0000065,,10.0
,2272037,[],CHEMBL960840,Inhibition of P2X4 receptor,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(C(C)C)c(Oc2cnc(N)nc2N)cc1I,,,CHEMBL1153301,Bioorg. Med. Chem. Lett.,2009.0,,CHEMBL526307,,CHEMBL526307,,False,http://www.openphacts.org/units/Nanomolar,756109,>,1,True,>,,IC50,nM,,10000.0,CHEMBL2104,Homo sapiens,P2X purinoceptor 4,9606,,,IC50,uM,UO_0000065,,10.0
,3098212,[],CHEMBL1069596,Antagonist activity at P2X4 receptor,F,,,BAO_0000190,BAO_0000019,assay format,CCCc1nc(-c2ccccc2)oc1C(=O)NC(C)CN1CCN(c2ncccn2)CC1,,,CHEMBL1159093,Bioorg. Med. Chem. Lett.,2010.0,,CHEMBL605325,,CHEMBL605325,,False,http://www.openphacts.org/units/Nanomolar,884240,<,1,True,>,,IC50,nM,,10000.0,CHEMBL2104,Homo sapiens,P2X purinoceptor 4,9606,,,pIC50,,UO_0000065,,5.0
,3099404,[],CHEMBL1069596,Antagonist activity at P2X4 receptor,F,,,BAO_0000190,BAO_0000019,assay format,CC(=O)N1CCN(C[C@@H](C)NC(=O)c2cc3c(-c4ccccc4)nn(C)c3s2)CC1,,,CHEMBL1159093,Bioorg. Med. Chem. Lett.,2010.0,,CHEMBL599760,,CHEMBL599760,,False,http://www.openphacts.org/units/Nanomolar,885303,<,1,True,>,,IC50,nM,,10000.0,CHEMBL2104,Homo sapiens,P2X purinoceptor 4,9606,,,pIC50,,UO_0000065,,5.0
,12148271,[],CHEMBL2184479,Antagonist activity at human P2X4 receptor expressed in 1321N1 cells assessed as inhibition of ATP-induced cytosolic calcium influx compound preincubated for 30 mins before ATP treatment by Fluo-4 AM fluorescence method,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(Nc1ccccc1OCCOc1ccccc1NC(=O)c1ccccc1)c1ccccc1,,,CHEMBL2177033,J. Med. Chem.,2012.0,,CHEMBL2180157,,CHEMBL2180157,,False,http://www.openphacts.org/units/Nanomolar,1753351,>,1,True,>,,IC50,nM,,10000.0,CHEMBL2104,Homo sapiens,P2X purinoceptor 4,9606,,,IC50,uM,UO_0000065,,10.0
,12148272,[],CHEMBL2184479,Antagonist activity at human P2X4 receptor expressed in 1321N1 cells assessed as inhibition of ATP-induced cytosolic calcium influx compound preincubated for 30 mins before ATP treatment by Fluo-4 AM fluorescence method,F,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OCC(=O)Nc1ccccc1OCCBr,,,CHEMBL2177033,J. Med. Chem.,2012.0,,CHEMBL2180156,,CHEMBL2180156,,False,http://www.openphacts.org/units/Nanomolar,1753350,>,1,True,>,,IC50,nM,,10000.0,CHEMBL2104,Homo sapiens,P2X purinoceptor 4,9606,,,IC50,uM,UO_0000065,,10.0
,12148273,[],CHEMBL2184479,Antagonist activity at human P2X4 receptor expressed in 1321N1 cells assessed as inhibition of ATP-induced cytosolic calcium influx compound preincubated for 30 mins before ATP treatment by Fluo-4 AM fluorescence method,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(OCc1ccccc1)N1CCOc2ccccc21,,,CHEMBL2177033,J. Med. Chem.,2012.0,,CHEMBL2180155,,CHEMBL2180155,,False,http://www.openphacts.org/units/Nanomolar,1753349,>,1,True,>,,IC50,nM,,10000.0,CHEMBL2104,Homo sapiens,P2X purinoceptor 4,9606,,,IC50,uM,UO_0000065,,10.0
